Player,2019_Overall,2019_Injury,2019_Age
Khalil Mack,99,97,28
Aaron Donald,99,98,28
Bobby Wagner,99,98,29
DeAndre Hopkins,99,96,27
Julio Jones,98,86,30
Luke Kuechly,98,89,28
Antonio Brown,98,95,31
Von Miller,97,96,30
Patrick Mahomes,97,94,23
David Bakhtiari,97,89,27
Todd Gurley II,97,85,25
J.J. Watt,97,83,30
Odell Beckham Jr,96,85,26
Travis Kelce,96,88,29
Zack Martin,96,96,28
Fletcher Cox,96,93,28
Jalen Ramsey,96,86,24
Tom Brady,96,99,42
Damon Harrison Sr,95,91,30
Earl Thomas III,95,91,30
Trent Williams,95,84,31
Michael Thomas,95,90,26
Philip Rivers,94,98,37
Tyreek Hill,94,88,25
Ezekiel Elliott,94,97,24
Travis Frederick,94,98,28
Tyron Smith,94,84,28
Jason Kelce,94,90,31
Stephon Gilmore,94,94,28
Harrison Smith,94,95,30
Adam Thielen,94,90,29
Mitchell Schwartz,93,98,30
Zach Ertz,93,86,28
Richard Sherman,93,96,31
Rodney Hudson,93,92,30
Andrew Whitworth,93,90,37
David DeCastro,93,91,29
Stefon Diggs,93,87,25
Patrick Peterson,92,97,29
Melvin Gordon III,92,89,26
Andrew Luck,92,85,29
Malcolm Jenkins,92,97,31
Calais Campbell,92,97,33
Le'Veon Bell,92,86,27
Davante Adams,92,93,26
Michael Pierce,92,87,26
Drew Brees,92,98,40
Delanie Walker,92,88,35
Jadeveon Clowney,92,85,26
Eddie Jackson,91,82,25
Geno Atkins,91,85,31
Myles Garrett,91,87,23
Mike Evans,91,91,26
T.Y. Hilton,91,89,29
Byron Jones,91,90,26
Saquon Barkley,91,93,22
Christian McCaffrey,91,88,23
Marshal Yanda,91,93,34
Cameron Jordan,91,97,30
Russell Wilson,91,98,30
A.J. Green,90,90,31
Chris Harris Jr,90,92,30
Kareem Hunt,90,88,24
Lavonte David,90,97,29
Brandon Brooks,90,87,30
Deion Jones,90,87,24
George Kittle,90,88,25
Joe Staley,90,90,35
Jamal Adams,90,94,23
Kenny Clark,90,91,23
Aaron Rodgers,90,90,35
Alvin Kamara,90,85,24
Kyle Fuller,89,89,27
Keenan Allen,89,83,27
Casey Hayward Jr,89,87,29
Chris Jones,89,90,25
Amari Cooper,89,84,25
DeMarcus Lawrence,89,85,27
Brandon Graham,89,93,31
Lane Johnson,89,92,29
Devonta Freeman,89,86,27
Alex Mack,89,98,33
Matt Ryan,89,98,34
Kevin Zeitler,89,91,29
Darius Slay Jr,89,92,28
Greg Olsen,89,86,34
Julian Edelman,89,88,33
Devin McCourty,89,95,32
Kevin Byard,89,90,26
Tyler Eifert,88,76,28
Joe Mixon,88,93,23
Emmanuel Sanders,88,87,32
Denzel Ward,88,88,22
Demar Dotson,88,84,33
Ali Marpet,88,90,26
Joey Bosa,88,89,24
Melvin Ingram III,88,88,30
Keanu Neal,88,90,24
Desmond Trufant,88,95,28
A.J. Bouye,88,83,28
Telvin Smith,88,90,28
Matt Paradis,88,85,29
Shaq Mason,88,91,26
Jordan Reed,88,80,29
Terron Armstead,88,82,28
JuJu Smith-Schuster,88,90,22
Trey Burton,87,95,27
Akiem Hicks,87,94,29
Joel Bitonio,87,92,27
David Johnson,87,87,27
Kendall Fuller,87,84,24
Tyrann Mathieu,87,84,27
Justin Houston,87,88,30
Quenton Nelson,87,97,23
Alshon Jeffery,87,87,29
Jason Peters,87,86,37
Grady Jarrett,87,84,26
DeForest Buckner,87,91,25
C.J. Mosley,87,86,27
Trey Flowers,87,94,26
