Player,2020_Overall,2020_Age,2020_Injury
Aaron Donald,99,29,98
Stephon Gilmore,99,29,94
Christian McCaffrey,99,24,96
Patrick Mahomes,99,24,95
Michael Thomas,99,27,93
DeAndre Hopkins,98,28,96
J.J. Watt,98,31,83
Zack Martin,98,29,96
George Kittle,98,26,88
Bobby Wagner,98,30,98
Russell Wilson,97,31,98
Travis Kelce,97,30,88
Khalil Mack,97,29,97
Von Miller,97,31,96
Julio Jones,97,31,86
Cameron Jordan,96,31,97
Fletcher Cox,96,29,93
Tyreek Hill,96,26,88
David Bakhtiari,96,28,89
Mitchell Schwartz,96,31,98
Harrison Smith,95,31,95
Rob Gronkowski,95,31,77
Chandler Jones,95,30,84
Calais Campbell,95,34,97
Terron Armstead,95,29,82
Jalen Ramsey,94,25,86
Davante Adams,94,27,93
Lamar Jackson,94,23,92
Jason Kelce,94,32,90
Quenton Nelson,94,24,97
Drew Brees,93,41,97
Amari Cooper,93,26,83
Brandon Brooks,93,31,84
Tyrann Mathieu,93,28,84
Ronnie Stanley,93,26,91
Myles Garrett,93,24,87
Derrick Henry,93,26,93
Rodney Hudson,93,31,92
Jamal Adams,92,24,94
Stefon Diggs,92,26,87
Richard Sherman,92,32,96
Mike Evans,92,27,91
Ezekiel Elliott,92,25,97
Chris Jones,92,26,90
Devin McCourty,92,33,95
Nick Chubb,92,24,86
Trent Williams,92,32,84
Dalvin Cook,91,25,84
David DeCastro,91,30,91
Saquon Barkley,91,23,92
Odell Beckham Jr,91,27,84
Joey Bosa,91,25,89
Keenan Allen,91,28,83
Ryan Ramczyk,91,26,89
Michael Pierce,91,27,87
Kevin Byard,91,27,90
Tyron Smith,91,29,84
Richie Incognito,90,37,89
Adam Thielen,90,30,90
Tom Brady,90,43,99
Aaron Jones,90,25,84
Grady Jarrett,90,27,84
Zach Ertz,90,29,86
Cameron Heyward,90,31,89
Tre'Davious White,90,25,90
Justin Simmons,90,26,91
Lavonte David,90,30,97
Kenny Clark,90,24,91
Jaire Alexander,90,23,87
Marlon Humphrey,89,24,89
Aaron Rodgers,89,36,90
Cooper Kupp,89,27,89
Demario Davis,89,31,91
Nick Bosa,89,22,86
Allen Robinson II,89,27,89
